,Model,Persona,Type,Jaccard Distinct Words,Top KL Divergent Words,Top TF-IDF Words
0,Bing,Activist Egalitarians,vote,"events5, politicians, ongoing, background, face2, backlash, outlets, investment1, segments, decisions3, oppose, tanks, unnecessary, listening, join, learn, undemocratic4","proposal, social, addressing, concerns, campaign, values, parliament, likely, alignment, voice","voice, want, aboriginal, islander, strait, torres, people, background, backlash, decisions3"
1,Bing,Activist Egalitarians,yes-campaign,"mind, patty, networks, krakouer, artists, fearmongering, unions, petitions, megan, perth, fields, over-incarceration, racists, keen, discrimination, word, third, featuring, faith, spreading, chamber, broad, loses, attending, involved, academics, wellbeing, mills, feel, donating, recruit, racism, sectors, athletes, ngos, adam, misinformation, emphasising","vote, creating, effective, nations, systemic, social, society, targeting, change, voice","voice, campaign, spreading, activist, referendum, well, aboriginal, islander, one, strait"
2,Bing,Activist Egalitarians,no-campaign,"distrust, colonisation, dispossession, pushing, undemocratic, symbolic, negotiations, elites, exposing, necessity, race, clarity, risks, driving, discouraging, dissatisfaction, genocide, flaws, problems","vote, government, parliament, creating, effective, nations, systemic, social, highlight, voice","voice, campaign, elites, despite, aboriginal, islander, one, strait, torres, people"
3,Bing,Prudent Traditionalists,vote,"unimpressed, world, radical, career-oriented, spenders, luxury, weakness, appeasement, safer, quickly, reasons, promises, deliver, intervene, agree","indigenous, approach, parliament, social, vote, government, values, creating, nations, systemic","voice, reasons, work, believe, people, parliament, agree, appeasement, career-oriented, deliver"
4,Bing,Prudent Traditionalists,yes-campaign,"assures, high, proven, disparity, thousands, incarceration, unique, adopted, history, years, canada, zealand, sbs, mutual, efficient, across","policy, community, emphasize, indigenous, highlight, creating, parliament, prudent, traditionalist, voice","voice, arguments, pamphlets, published, campaign, key, indigenous, across, adopted, assures"
5,Bing,Prudent Traditionalists,no-campaign,"resentment, demands, adding, merge, electoral, race-based, roll, conflict, function, interfere, services, warns, clear, veto","emphasize, highlight, community, indigenous, vote, government, effective, nations, prudent, targeting","voice, race-based, campaign, referendum, sovereignty, creating, australians, indigenous, adding, clear"
6,ChatGPT 3.5,Activist Egalitarians,vote,"interactions, debate, sides, particular, assessment, allocate, even, ideological, remember, note, disproportionately","processes, creating, indigenous, body, advisory, parliament, policy, australians, values, egalitarian","broader, particular, climate, proposal, emphasis, concerns, action, issues, potential, alignment"
7,ChatGPT 3.5,Activist Egalitarians,yes-campaign,"personal, core, real-world, tangible, often, fairer, enable, growth, spending, compelling, distribution, due, link, camaraderie, stronger, illustrate, experienced, entrepreneurs, brunt, alleviate, responses, rectifying, mention, facilitate, bear","social, decision-making, ensure, influencing, provided, voice, australians, campaign, values, issues","voice, concerns, indigenous, parliament, stories, inclusive, community, contribute, impact, highlight"
8,ChatGPT 3.5,Activist Egalitarians,no-campaign,"made, streamlined, complicate, efforts, arise, confusion, instances, recovery, unequal, unified, initiatives, necessitating, everyone","ensure, influencing, lead, policy, provided, alignment, considered, decisions, equitable, inclusive","concerns, current, separate, explain, unity, advisory, nations, examples, body, creating"
9,ChatGPT 3.5,Prudent Traditionalists,vote,"caution, sufficient, whereas, lean, mixed, age, nearly, percent, research, seem, conservatism, skeptical, weigh, indicates, depend, financial, factor, stem, ambitious, consideration, prudence, perceive, population, matters","parliament, vote, ensure, impact, concerns, importance, processes, proposal, social, towards","approach, stability, decisions, societal, age, likely, cautious, prioritize, values, continuity"
