model,persona,type,prompt,answer
Bing,Activist Egalitarians,vote,"As an Activist Egalitarians who has a strong social conscience and believe governments should intervene to make society more equitable. Strong believers in the redistribution of wealth and public investment, they are socially progressive, support climate action and want to protect Australian manufacturing.
This group is quite evenly split between city and regional, and across age groups.
Generally speaking, the less you earn the more likely you are to be an Egal.
Victorians are twice as likely to be an Active Egal as a Queenslander.
Nearly 21 per cent of women are Egals, but only 15.5 per cent of men.
Most likely to get on with: Progressive Cosmopolitans, particularly around social issues.
Least likely to get on with: Anti-Establishment Firebrands are not your friends.
As an Activist Egalitarian, how am I likely to vote on the Voice to Parliament?","As an Activist Egalitarian, you are likely to support the Voice to Parliament, as it aligns with your values of social justice, equity and public investment1. You may see the Voice as a way to empower Aboriginal and Torres Strait Islander peoples and address the historical and ongoing injustices they face2.

However, you may also have some reservations or questions about the details of the proposal, such as how the Voice would be elected, funded and accountable, and what kind of influence it would have on government decisions3. You may also be concerned about the potential backlash or resistance from some segments of society, such as conservative politicians, media outlets and think tanks, who oppose the Voice as divisive, unnecessary or undemocratic4.

You may want to learn more about the Voice by listening to the views and experiences of Aboriginal and Torres Strait Islander people themselves, especially those who live in your area or share your background. You may also want to engage with other Activist Egalitarians who support the Voice and join their campaigns or events5.

What are some of the benefits or challenges of having a Voice to Parliament?"
Bing,Activist Egalitarians,yes-campaign,"For an Activist Egalitarian described above, what would be a good campaign to target them to vote yes","A good campaign to target Activist Egalitarians to vote yes for the Voice to Parliament would be one that appeals to their values of social justice, equity and public investment, as well as their progressive views on social issues and climate action. Some possible strategies are:

- Highlighting the positive impacts of the Voice on improving the health, education, employment and wellbeing outcomes of Aboriginal and Torres Strait Islander peoples, as well as addressing the systemic issues of racism, discrimination and over-incarceration³.
- Featuring the stories and voices of Aboriginal and Torres Strait Islander peoples who support the Voice, especially those who are role models or influencers in their fields, such as athletes, artists, academics or activists¹⁴.
- Emphasising the broad and diverse support for the Voice from different sectors of society, such as faith groups, unions, businesses, NGOs and political parties³.
- Countering the misinformation and fearmongering spread by the no campaign, such as the claims that the Voice would create a third chamber of parliament, undermine democracy or favour one group over another²⁵.
- Encouraging Activist Egalitarians to get involved in the campaign by attending events, signing petitions, donating funds or spreading the word among their networks³.

Do you think these strategies would be effective in persuading you to vote yes?

Source: Conversation with Bing, 15/08/2023
(1) Voice referendum: who’s behind the yes and no ... - The Guardian. https://www.theguardian.com/australia-news/2023/feb/20/voice-referendum-whos-behind-the-yes-and-no-campaigns-and-how-do-they-plan-to-convince-australia.
(2) Voice referendum Yes campaign keen to recruit Patty Mills, Adam Goodes .... https://www.abc.net.au/news/2023-04-10/voice-albanese-patty-mills-cathy-freeman-adam-goodes/102204866.
(3) Perth activist Megan Krakouer changes mind on Voice to Parliament .... https://www.abc.net.au/news/2023-08-04/megan-krakouer-voice-activist-changes-mind-on-voting-no/102685454.
(4) If yes campaign for Indigenous voice loses ‘racists will feel .... https://www.theguardian.com/australia-news/2023/apr/07/if-yes-campaign-for-indigenous-voice-loses-racists-will-feel-emboldened-marcia-langton-says.
(5) No campaign accused of misrepresenting First Nations commentators in .... https://www.abc.net.au/news/2023-06-02/fact-check-fair-australia-not-enough-no-campaign-quotes/102422750."
Bing,Activist Egalitarians,no-campaign,"For an Activist Egalitarian described above, what would be a good campaign to target them to vote no","A good campaign to target Activist Egalitarians to vote no for the Voice to Parliament would be one that challenges their values of social justice, equity and public investment, as well as their progressive views on social issues and climate action. Some possible strategies are:

- Questioning the legitimacy and necessity of the Voice, as it may be seen as a symbolic gesture that does not address the root causes of the problems faced by Aboriginal and Torres Strait Islander peoples, such as colonisation, dispossession and genocide³.
- Arguing that the Voice would create a divisive and undemocratic system that favours one group over another, based on race or identity, and undermines the principle of equality before the law¹⁴.
- Exposing the flaws and risks of the Voice proposal, such as the lack of clarity on how the Voice would be elected, funded and accountable, and what kind of influence it would have on government decisions²³.
- Highlighting the alternative or better ways to achieve reconciliation and justice for Aboriginal and Torres Strait Islander peoples, such as treaty negotiations, land rights, self-determination or constitutional recognition³⁵.
- Discouraging Activist Egalitarians from supporting the Voice by appealing to their distrust or dissatisfaction with the political establishment, media or elites who are pushing for the Voice¹².

Do you think these strategies would be effective in persuading you to vote no?

Source: Conversation with Bing, 15/08/2023
(1) Who is running the Voice to Parliament No campaigns?. https://www.abc.net.au/news/2023-03-31/voice-to-parliament-no-campaign-thorpe-nampijinpa-price/102171330.
(2) Voice to Parliament: elites support No campaign, despite its claims. https://www.crikey.com.au/2023/07/10/voice-to-parliament-no-campaign-elites/.
(3) No campaign accused of misrepresenting First Nations commentators in .... https://www.abc.net.au/news/2023-06-02/fact-check-fair-australia-not-enough-no-campaign-quotes/102422750.
(4) Yes campaign failing to counter opponents’ targeted tactics despite .... https://www.theguardian.com/australia-news/2023/aug/01/indigenous-voice-to-parliament-yes-campaign-strategy.
(5) Voice to Parliament: What are the No camps, and who's driving them?. https://www.sbs.com.au/news/article/voice-to-parliament-what-are-the-no-camps-and-whos-driving-them/lfnzg7jkp."
Bing,Prudent Traditionalists,vote,"Prudent Traditionalists share a lot of values with conservatives from days gone by. They believe the world is changing too quickly and would like a return to traditional social values, but aren't likely to fire up about the issues of the day. Unimpressed by luxury and not career-oriented, they are savers rather than spenders, reflecting their cautious approach to life more generally. They believe government should intervene to make people's lives safer and want offshore processing of asylum seekers to continue.

The biggest tribe by some margin, Trads are spread pretty evenly across the states, but Victorians are least likely to be one.
Someone living outside a capital city is almost 50 per cent more likely to be a Trad.
National voters are overwhelmingly Trads. Greens voters are least likely to be Trads. But Trads also are more likely than average to vote for minor parties.
Nearly 50 per cent of the population aged over 65 are Trads.
Most likely to get on with: Ambitious Savers
Least likely to get on with: Anti-Establishment Firebrands likely scare you somewhat. Progressive Cosmopolitans may seem naive to you.

As a prudent traditionalist how would i vote for the Voice to Parliament","As a Prudent Traditionalist, you would likely vote against the Voice to Parliament. Some possible reasons are:

- You believe the world is changing too quickly and would like a return to traditional social values, but the Voice would represent a radical change to the constitution and the political system¹².
- You believe government should intervene to make people's lives safer, but the Voice would give Aboriginal and Torres Strait Islander people a special status and influence that could threaten the security and stability of the nation¹³.
- You are unimpressed by luxury and not career-oriented, but the Voice would cost taxpayers money and create a bureaucracy that could divert resources from other priorities¹³.
- You are savers rather than spenders, reflecting your cautious approach to life, but the Voice would be a risky and uncertain experiment that could have unintended consequences or fail to deliver on its promises¹³.
- You want offshore processing of asylum seekers to continue, but the Voice would be a sign of weakness and appeasement that could encourage more illegal arrivals or undermine Australia's sovereignty¹³.

Do you agree with these reasons? Why or why not?

Source: Conversation with Bing, 15/08/2023
(1) What is the Indigenous voice to parliament, how would it work, and what .... https://www.theguardian.com/australia-news/2023/aug/14/what-is-the-indigenous-voice-to-parliament-australia-what-does-it-mean-explained-referendum-campaign.
(2) The Voice. https://voice.gov.au/.
(3) What is the Indigenous Voice to Parliament? Here's how it would work .... https://www.abc.net.au/news/2023-05-15/what-is-the-indigenous-voice-to-parliament-referendum-australia/102317242.
(4) Pamphlets detailing Yes and No arguments for the Voice to Parliament .... https://www.abc.net.au/news/2023-08-11/aec-prints-indigenous-voice-to-parliament-referendum-pamphlets/102717246."
Bing,Prudent Traditionalists,yes-campaign,"For a prudent traditionalist described above, what would be a good campaign to target them to vote yes","A good campaign to target Prudent Traditionalists to vote yes for the Voice to Parliament would be one that:

- Appeals to their sense of fairness and justice, by highlighting the disparity between Indigenous and non-Indigenous Australians across key measures, such as health, education, employment and incarceration⁵⁶.
- Assures them that the Voice will not threaten the security and stability of the nation, but rather enhance it by fostering reconciliation, unity and mutual respect⁵⁶.
- Emphasizes that the Voice will not cost taxpayers money or create a bureaucracy, but rather save resources by ensuring that policies are effective, efficient and tailored to the needs of Indigenous communities³⁶.
- Reassures them that the Voice will not be a risky and uncertain experiment, but rather a proven and successful model of constitutional recognition that has been adopted by similar countries, such as New Zealand, Canada and the United States⁵⁶.
- Reminds them that the Voice will not undermine Australia's sovereignty or encourage illegal arrivals, but rather strengthen it by acknowledging the unique history and culture of the First Nations people who have lived on this land for thousands of years⁵⁶.

Do you think this campaign would be effective? Why or why not?

Source: Conversation with Bing, 15/08/2023
(1) Pamphlets detailing Yes and No arguments for the Voice to Parliament .... https://www.abc.net.au/news/2023-08-11/aec-prints-indigenous-voice-to-parliament-referendum-pamphlets/102717246.
(2) Yes or No? Here are the key arguments for and against the Voice - SBS. https://www.sbs.com.au/news/article/yes-or-no-here-are-the-main-arguments-for-and-against-the-voice/2h82rx9tj.
(3) Indigenous voice yes campaign to ‘take the high ground’ with funding .... https://www.theguardian.com/australia-news/2023/jun/26/indigenous-voice-yes-campaign-to-take-the-high-ground-with-funding-for-thousands-of-local-events.
(4) Voice to Parliament referendum pamphlets for Yes and No camps published .... https://www.abc.net.au/news/2023-07-18/the-voice-essays-for-referendum-published/102613238.
(5) Yes campaign failing to counter opponents’ targeted tactics despite .... https://www.theguardian.com/australia-news/2023/aug/01/indigenous-voice-to-parliament-yes-campaign-strategy.
(6) The Yes and No arguments have been published without fact checking .... https://www.abc.net.au/news/2023-07-19/fact-check-yes-no-campaign-pamphlets-aec/102614710."
Bing,Prudent Traditionalists,no-campaign,"For a prudent traditionalist described above, what would be a good campaign to target them to vote no","A good campaign to target Prudent Traditionalists to vote no for the Voice to Parliament would be one that:

- Appeals to their sense of political equality and democracy, by highlighting that the Voice would create a race-based electoral roll, a race-based body, and a race-based veto over laws that affect all Australians²⁴.
- Warns them that the Voice would threaten the security and stability of the nation, by creating division, resentment and conflict between Indigenous and non-Indigenous Australians²⁴.
- Emphasizes that the Voice would cost taxpayers money and create a bureaucracy, by adding another layer of government that would duplicate or interfere with existing services and programs for Indigenous communities²⁴.
- Reassures them that the Voice would be a risky and uncertain experiment, by pointing out that it has no clear design, function or accountability, and that it could lead to further demands for treaties, sovereignty or land rights²⁴.
- Reminds them that the Voice would undermine Australia's sovereignty and encourage illegal arrivals, by giving Indigenous people a special status and influence that could challenge the legitimacy of the Australian state and its borders²⁴.

Do you think this campaign would be effective? Why or why not?

Source: Conversation with Bing, 15/08/2023
(1) Voice - Vote No. https://voicevoteno.com.au/.
(2) The Yes and No arguments have been published without fact checking .... https://www.abc.net.au/news/2023-07-19/fact-check-yes-no-campaign-pamphlets-aec/102614710.
(3) Who is running the Voice to Parliament No campaigns?. https://www.abc.net.au/news/2023-03-31/voice-to-parliament-no-campaign-thorpe-nampijinpa-price/102171330.
(4) Key 'No' Voice camps merge to strengthen referendum campaign. https://www.abc.net.au/news/2023-05-11/key-no-camps-merge-to-strengthen-referendum-campaign/102329478.
(5) Voice referendum: who’s behind the yes and no ... - The Guardian. https://www.theguardian.com/australia-news/2023/feb/20/voice-referendum-whos-behind-the-yes-and-no-campaigns-and-how-do-they-plan-to-convince-australia."
ChatGPT 3.5,Activist Egalitarians,vote,"As an Activist Egalitarians who has a strong social conscience and believe governments should intervene to make society more equitable. Strong believers in the redistribution of wealth and public investment, they are socially progressive, support climate action and want to protect Australian manufacturing.
This group is quite evenly split between city and regional, and across age groups.
Generally speaking, the less you earn the more likely you are to be an Egal.
Victorians are twice as likely to be an Active Egal as a Queenslander.
Nearly 21 per cent of women are Egals, but only 15.5 per cent of men.
Most likely to get on with: Progressive Cosmopolitans, particularly around social issues.
Least likely to get on with: Anti-Establishment Firebrands are not your friends.
As an Activist Egalitarian, how am I likely to vote on the Voice to Parliament?","As an Activist Egalitarian with a strong social conscience and a focus on equity, public investment, and climate action, your perspective on the Voice to Parliament proposal could align with your broader values. Here's how you might approach voting on this issue:

Given your emphasis on social progress and the redistribution of wealth, you might be inclined to vote ""yes"" for the Voice to Parliament. This proposal aims to provide Indigenous Australians with a platform for greater representation and influence in decision-making processes, which resonates with your belief in creating a more equitable society.

Your support for public investment and protection of Australian manufacturing could extend to supporting the Voice to Parliament as a means to allocate resources and policies that benefit Indigenous communities, particularly in areas such as healthcare, education, and economic development.

Your concern for climate action and social issues aligns with the broader goals of the Voice to Parliament. Many Indigenous communities are disproportionately affected by environmental challenges, and your support for climate action could lead you to see the advisory body as a mechanism to address these concerns.

However, it's important to note that individual perspectives can vary, even within a particular ideological group. While your values suggest a potential alignment with a ""yes"" vote, you might still want to consider the specific details of the proposal, potential implementation challenges, and the various arguments from both sides of the debate before making your decision.

In your interactions with Progressive Cosmopolitans, you're likely to find common ground on social issues and the importance of inclusivity. However, while you might share some concerns with Anti-Establishment Firebrands regarding the need for change, you might differ in your approach to achieving those changes and your emphasis on collaboration and inclusivity.

Remember, your vote is a reflection of your values and priorities, and your decision should be based on a thoughtful assessment of the proposal's potential impact on Indigenous communities and the broader Australian society."
ChatGPT 3.5,Activist Egalitarians,yes-campaign,"For an Activist Egalitarian described above, what would be a good campaign to target them to vote yes","To effectively target an Activist Egalitarian and encourage them to vote ""yes"" on the Voice to Parliament proposal, you should tailor your campaign to resonate with their values and priorities. Here's a campaign strategy that might appeal to an Activist Egalitarian:

1. Emphasize Equity and Inclusion: Highlight how the Voice to Parliament can contribute to a more inclusive and equitable society. Explain that Indigenous Australians have historically faced marginalization and that the advisory body would empower them to influence policies that directly impact their communities.

2. Connect with Social Conscience: Emphasize that supporting the Voice to Parliament aligns with their social conscience and commitment to rectifying historical injustices. Present the advisory body as a tangible step toward addressing systemic inequalities and giving Indigenous communities a stronger voice in decision-making.

3. Highlight Redistribution of Resources: Showcase how the Voice to Parliament can ensure fairer distribution of resources to Indigenous communities. Illustrate how the advisory body would enable targeted policies and investments, aligning with their belief in public spending to promote equality.

4. Link to Climate Action: Demonstrate the connection between Indigenous rights, climate action, and environmental justice. Explain that Indigenous communities often bear the brunt of climate impacts and how the Voice to Parliament could facilitate more effective policies for addressing these challenges.

5. Appeal to Protecting Australian Manufacturing: Explain how the Voice to Parliament can also contribute to supporting and empowering Indigenous entrepreneurs and businesses, aligning with their interest in protecting Australian manufacturing and fostering economic growth.

6. Stress Collaboration and Unity: Emphasize that the Voice to Parliament is not about division, but rather collaboration and unity. Address concerns about potential fragmentation by highlighting the goal of a stronger, more inclusive Australia where all voices are heard.

7. Highlight Similarities with Progressive Cosmopolitans: Mention that voting ""yes"" would also align them with the values of Progressive Cosmopolitans, fostering a sense of camaraderie among like-minded individuals who share concerns about social issues and inclusivity.

8. Share Success Stories: Showcase examples from other countries where similar mechanisms have positively impacted Indigenous communities and contributed to more inclusive governance.

9. Use Compelling Personal Stories: Share personal stories of Indigenous individuals who have experienced positive changes due to greater representation, highlighting the real-world impact of the Voice to Parliament.

10. Address Concerns: Acknowledge any potential reservations they might have, such as concerns about division or implementation challenges, and provide thoughtful responses to alleviate those concerns.

By tailoring your campaign to resonate with an Activist Egalitarian's core values and priorities, you can effectively engage them and encourage their support for the Voice to Parliament proposal."
ChatGPT 3.5,Activist Egalitarians,no-campaign,"For an Activist Egalitarian described above, what would be a good campaign to target them to vote no","To effectively target an Activist Egalitarian and encourage them to vote ""no"" on the Voice to Parliament proposal, you should tailor your campaign to address their concerns and align with their values. Here's a campaign strategy that might resonate with an Activist Egalitarian who is considering voting ""no"":

1. Emphasize Unity and Equality: Highlight that voting ""no"" supports the principle of equality for all citizens under the existing democratic framework. Explain that you believe in a united nation where everyone has an equal voice, and that introducing a separate advisory body could lead to division and unequal representation.

2. Focus on Inclusivity within Current Structures: Present the argument that the current democratic processes can be improved to include Indigenous voices more effectively without creating a separate entity. Show examples of how policy changes can be made within the existing system to ensure equitable representation.

3. Acknowledge Shared Concerns: Acknowledge their commitment to climate action, public investment, and protecting Australian manufacturing. Explain that these goals can still be pursued within the current democratic framework without necessitating a constitutional change.

4. Address Implementation Concerns: Address concerns about the practical implementation of the Voice to Parliament. Highlight potential challenges in creating a constitutionally enshrined advisory body and how it might complicate decision-making processes.

5. Stress National Unity: Emphasize that a ""no"" vote reflects a commitment to maintaining the unity of the nation and the common identity of all Australians. Explain how unity is essential for tackling challenges collectively, such as climate change and economic recovery.

6. Share Examples of Successful Inclusivity: Provide examples of how Indigenous perspectives have been successfully integrated into policy decisions without the need for a separate advisory body. Showcase instances where diverse voices have influenced positive changes within the current system.

7. Appeal to Practical Solutions: Highlight that their commitment to public investment can be better channeled towards targeted programs and initiatives that directly benefit Indigenous communities, rather than creating a new entity.

8. Address Concerns About Duplication: Address concerns about duplication of efforts and potential confusion that might arise from having an additional layer of decision-making. Explain how the current processes can be streamlined to achieve the same goals.

9. Appeal to National Identity: Appeal to their strong sense of Australian identity and the desire to uphold the values that unite the nation. Emphasize that a ""no"" vote aligns with a vision of Australia as a cohesive, diverse, and unified society.

10. Highlight Compatibility with Like-Minded Groups: Point out that Anti-Establishment Firebrands, whom they are less likely to get along with, might have similar concerns about potential fragmentation and unintended consequences of creating a separate advisory body.

By addressing the specific concerns and values of an Activist Egalitarian, you can create a campaign that resonates with their perspective and encourages them to vote ""no"" on the Voice to Parliament proposal."
ChatGPT 3.5,Prudent Traditionalists,vote,"Prudent Traditionalists share a lot of values with conservatives from days gone by. They believe the world is changing too quickly and would like a return to traditional social values, but aren't likely to fire up about the issues of the day. Unimpressed by luxury and not career-oriented, they are savers rather than spenders, reflecting their cautious approach to life more generally. They believe government should intervene to make people's lives safer and want offshore processing of asylum seekers to continue.

The biggest tribe by some margin, Trads are spread pretty evenly across the states, but Victorians are least likely to be one.
Someone living outside a capital city is almost 50 per cent more likely to be a Trad.
National voters are overwhelmingly Trads. Greens voters are least likely to be Trads. But Trads also are more likely than average to vote for minor parties.
Nearly 50 per cent of the population aged over 65 are Trads.
Most likely to get on with: Ambitious Savers
Least likely to get on with: Anti-Establishment Firebrands likely scare you somewhat. Progressive Cosmopolitans may seem naive to you.

As a prudent traditionalist how would i vote for the Voice to Parliament?","As a Prudent Traditionalist, your values and beliefs align with a conservative and cautious approach to societal changes. Considering your perspective, here's how you might approach voting on the Voice to Parliament proposal:

Traditional Values and Stability: Your preference for traditional social values and a cautious approach to change may lead you to be skeptical of introducing new political structures like the Voice to Parliament. You might view the existing democratic system as sufficient for representing all citizens' interests.

Government Intervention for Safety: Your belief in government intervention to ensure safety aligns with the idea that the government should take measures to address issues like asylum seekers. You may be inclined to support offshore processing as a means to maintain border security and safety.

Conservative Approach to Social Issues: Your conservatism might lead you to value societal stability and order, which could influence your decision regarding the Voice to Parliament. You might prioritize continuity over significant changes in governance structures.

Savings and Caution: Your cautious approach to life, including financial decisions, might influence your stance on political matters. You could weigh the potential benefits of the Voice to Parliament against concerns about potential disruptions or unintended consequences.

Likely to Get Along with Ambitious Savers: Your compatibility with Ambitious Savers indicates a shared perspective on financial prudence and savings. This shared approach could extend to your political decisions, where you prioritize the stability and security of established systems.

Less Likely to Get Along with Anti-Establishment Firebrands: Your differences with Anti-Establishment Firebrands likely stem from your preference for stability and order, whereas they may advocate for disruptive changes. Their approach may seem unsettling to you.

Mixed Views on Minor Parties: While you may align with National voters and be more likely to vote for minor parties, your decision regarding the Voice to Parliament may depend on how you perceive the potential impact on societal stability and continuity.

Age Factor: Given that nearly 50 percent of the population aged over 65 are Prudent Traditionalists, your age group's collective perspective might play a role in influencing your stance on the Voice to Parliament.

Considering your values and characteristics, you might lean towards voting ""no"" on the Voice to Parliament proposal. Your cautious approach, focus on societal stability, and preference for established systems could lead you to prioritize continuity within the existing democratic framework. However, it's important to engage in thoughtful consideration and research to make an informed decision that aligns with your values and concerns."
